Strain,dnaK_similarity,dnaK_coded,recA_similarity,recA_coded,ITS_similarity,ITS_coded,glnII_similarity,glnII_coded,nifD_similarity,nifD_coded,nodA_similarity,nodA_coded,nodL_similarity,nodL_coded,nodZ_similarity,nodZ_coded,Source,Site,Latitude,Longitude,Host,Rhizobial_lineage,ANI_species
05LoS16_16,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_19,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
19AcPa174A.2.1,05LoS14_1,K21,05LoS16_2,R23,19AcPa174A.2.1,I56,19AcPa174A.2.1,G30,19AcPa178.2.1,D6,19AcPa285.2.1,A4,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,Big Creek Reserve,36.06608396,-121.560984,A. parviflorus,Bradyrhizobium,21
19AcAm188.3.1,05LoS14_1,K21,05LoS16_2,R23,19AcAm188.3.1,I57,19AcAm188.3.1,G31,19AcAm188.3.1,D103,19AcPa178.2.1,A13,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,Big Creek Reserve,36.06009099,-121.554333,A. parviflorus,Bradyrhizobium,21
24,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Genomes,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,21
05LoH15.1,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Genomes,Bodega Marine Reserve,38.3193,-123.063733,A. heermannii,Bradyrhizobium,21
19AcPa174A.1.2,05LoS14_1,K21,05LoS16_2,R23,19AcPa174A.2.1,I56,19AcPa174A.2.1,G30,19AcPa178.2.1,D6,19AcPa285.2.1,A4,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,Big Creek Reserve,36.06608396,-121.560984,A. parviflorus,Bradyrhizobium,21
05LoH17.10,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Genomes,Bodega Marine Reserve,38.3193,-123.063733,A. heermannii,Bradyrhizobium,21
05LoS14_6,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
19AcPa174A.3.1,05LoS14_1,K21,05LoS16_2,R23,19AcPa174A.2.1,I56,19AcPa174A.2.1,G30,19AcPa178.2.1,D6,19AcPa285.2.1,A4,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,Big Creek Reserve,36.06608396,-121.560984,A. parviflorus,Bradyrhizobium,21
05LoS16R10_32,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Genomes,Bodega Marine Reserve,38.318611,-123.062222,A. strigosus,Bradyrhizobium,21
05LoS14_4,05LoS14_4,K22,19AcS397Asp.3.1,R1,19AcPa174.2.1,I24,05LoS14_4,G32,05LoS14_4,D104,05LoS14_4,A120,19AcS5.1.1,L5,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS14_11,05LoS14_4,K22,19AcS397Asp.3.1,R1,19AcPa174.2.1,I24,05LoS14_4,G32,05LoS14_4,D104,05LoS14_4,A120,19AcS5.1.1,L5,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS16_1,05LoS14_4,K22,05LoS16_2,R23,19AcPa174.2.1,I24,05LoS14_4,G32,11LoS18_1,D55,05LoS1_7,A69,inoc4-2,L82,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
05LoS1_7,05LoS14_4,K22,05LoS1_7,R73,19AcPa174.2.1,I24,05LoS14_4,G32,11LoS18_1,D55,05LoS1_7,A69,inoc4-2,L82,11LoS6_3,Z3,Hollowell,Bodega Marine Reserve,38.3193,-123.063733,A. strigosus,Bradyrhizobium,
05LoS16R10_36,05LoS14_4,K22,05LoS16_2,R23,19AcPa174.2.1,I24,05LoS14_4,G32,11LoS18_1,D55,05LoS1_7,A69,inoc4-2,L82,11LoS6_3,Z3,Genomes,Bodega Marine Reserve,38.318611,-123.062222,A. strigosus,Bradyrhizobium,21
05LoS16_8,05LoS16_8,K23,05LoS16_8,R74,11LoS24_1,I1,11LoS6_3,G1,05LoS16_8,D105,12LoS18_1,A9,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,Bodega Marine Reserve,38.318611,-123.065556,A. strigosus,Bradyrhizobium,
19AcAm39.7.1,19AcAm39.7.1,K24,19AcGLB381sp.3.1,R75,19AcAm39.7.1,I58,19AcAm39.7.1,G33,19AcPa147.2.2,D62,19AcAm40.6.1,A11,19AcAm39.7.1,L48,19AcPa151A.1.1,Z5,Genomes,McLaughlin Reserve,38.86004,-122.4089,A. americanus,Bradyrhizobium,25
19AcPa178.2.1,19AcPa178.2.1,K25,19AcS397Asp.3.1,R1,19AcS179.1.1,I15,11LoS6_3,G1,19AcPa178.2.1,D6,19AcPa178.2.1,A13,19AcPa178.2.1,L83,19AcPa151A.1.1,Z5,Genomes,Big Creek Reserve,36.05631,-121.54202,A. parviflorus,Bradyrhizobium,24
CW11,CW11,K26,19AcS397Asp.3.1,R1,11LoS23_10,I3,11LoS6_3,G1,12LoS15_2,D12,11LoS17_3,A16,CW11,L20,11LoS7_2,Z1,Genomes,Robert J. Bernard Biological Field Station,34.11055,-117.708983,A. strigosus,Bradyrhizobium,24
12LoS15_2,CW11,K26,12LoS14_1,R44,11LoS23_10,I3,11LoS6_3,G1,12LoS15_2,D12,11LoS17_3,A16,CW11,L20,11LoS7_2,Z1,Hollowell,Robert J. Bernard Biological Field Station,34.11056,-117.70906,A. strigosus,Bradyrhizobium,
05LoM26.5,05LoM26.5,K27,05LoM26.5,R76,19AcGLB381sp.3.1,I59,05LoM26.5,G34,19AcS179.1.1,D14,05LoM26.5,A121,05LoM26.5,L84,19AcPa151A.1.1,Z5,Genomes,Bodega Marine Reserve,38.3193,-123.063733,A. parviflorus,Bradyrhizobium,23
19AcNV335.2.1,19AcNV335.2.1,K28,19AcNV335.2.1,R77,19AcNV335.2.1,I60,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.2.1,L85,19AcNV336.3.1,Z68,Genomes,San Gorgonio Mountains,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3
19AcNV335.1.1,19AcNV335.2.1,K28,19AcNV335.2.1,R77,19AcNV335.2.1,I60,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.2.1,L85,19AcNV335.1.1,Z69,Genomes,San Gorgonio Mountains,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3
19AcNV336.2.1,19AcNV335.2.1,K28,19AcNV335.2.1,R77,19AcNV335.2.1,I60,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV336.2.1,L86,19AcNV336.3.1,Z68,Genomes,San Gorgonio Mountains,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3
19AcNV334.2.1,19AcNV335.2.1,K28,19AcNV334.2.1,R78,19AcNV334.2.1,I61,19AcNV334.2.1,G36,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.1.1,L87,19AcNV336.3.1,Z68,Genomes,San Gorgonio Mountains,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3
19AcNV332.3.1,19AcNV335.2.1,K28,19AcNV334.2.1,R78,19AcNV334.2.1,I61,19AcNV334.2.1,G36,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.1.1,L87,19AcNV336.3.1,Z68,Genomes,San Gorgonio Mountains,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3
19AcNV333.2.1,19AcNV335.2.1,K28,19AcNV335.2.1,R77,19AcNV335.2.1,I60,19AcNV335.2.1,G35,19AcNV333.2.1,D107,19AcNV336.3.1,A122,19AcNV332.2.1,L85,19AcNV336.3.1,Z68,Genomes,San Gorgonio Mountains,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3
19AcNV333.1.1,19AcNV335.2.1,K28,19AcNV335.2.1,R77,19AcNV335.2.1,I60,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.1.1,L87,19AcNV336.3.1,Z68,Genomes,San Gorgonio Mountains,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3
19AcNV332.1.1,19AcNV335.2.1,K28,19AcNV332.1.1,R79,19AcNV332.1.1,I62,19AcNV335.2.1,G35,19AcNV336.3.1,D106,19AcNV336.3.1,A122,19AcNV332.1.1,L87,19AcNV336.3.1,Z68,Genomes,San Gorgonio Mountains,33.58357161,-116.4548346,A. niveus,Bradyrhizobium,3
