Strain,X,dnaK_similarity,dnaK_coded,recA_similarity,recA_coded,ITS_similarity,ITS_coded,glnII_similarity,glnII_coded,nifD_similarity,nifD_coded,nodA_similarity,nodA_coded,nodL_similarity,nodL_coded,nodZ_similarity,nodZ_coded,Source,Site,Latitude,Longitude,Host,Rhizobial_lineage,ANI_species,CHR_haplotype,SYM_haplotype,Genome_haplotype,CHR.clade
05LoH15.1,426,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Genomes,BMR,38.3193,-123.063733,A. heermannii,Bradyrhizobium,21,K21_R23_I55_G4,D53_A9_L7_Z3,K21_R23_I55_G4_D53_A9_L7_Z3,B. canariense
05LoH17.10,428,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Genomes,BMR,38.3193,-123.063733,A. heermannii,Bradyrhizobium,21,K21_R23_I55_G4,D53_A9_L7_Z3,K21_R23_I55_G4_D53_A9_L7_Z3,B. canariense
05LoM26.3,276,09LoS43_2,K2,05LoM26.3,R47,05LoM26.3,I25,05LoM26.3,G9,19AcPa178.2.1,D6,19AcPa146.2.1,A27,19AcAm188A.1.1,L6,19AcPa151A.1.1,Z5,Genomes,BMR,38.3193,-123.063733,A. parviflorus,Bradyrhizobium,21,K2_R47_I25_G9,D6_A27_L6_Z5,K2_R47_I25_G9_D6_A27_L6_Z5,B. canariense
05LoM26.5,442,05LoM26.5,K27,05LoM26.5,R76,19AcGLB381sp.3.1,I59,05LoM26.5,G34,19AcS179.1.1,D14,05LoM26.5,A121,05LoM26.5,L84,19AcPa151A.1.1,Z5,Genomes,BMR,38.3193,-123.063733,A. parviflorus,Bradyrhizobium,23,K27_R76_I59_G34,D14_A121_L84_Z5,K27_R76_I59_G34_D14_A121_L84_Z5,B. canariense
05LoS1_2,202,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS1_2,D57,12LoS18_1,A9,05LoS1_2,L43,05LoS1_2,Z25,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D57_A9_L43_Z25,K1_R1_I1_G1_D57_A9_L43_Z25,B. canariense
05LoS1_3,203,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS21_4,A68,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D8_A68_L17_Z3,K1_R1_I1_G1_D8_A68_L17_Z3,B. canariense
05LoS1_4,142,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS21_1,A28,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D8_A28_L17_Z3,K1_R1_I1_G1_D8_A28_L17_Z3,B. canariense
05LoS1_5,465,05LoS1_5,K38,05LoS16_2,R23,19AcPa174.2.1,I24,05LoS1_5,G43,12LoS5_2,D4,05LoS1_5,A131,38B,L95,05LoS1_5,Z76,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K38_R23_I24_G43,D4_A131_L95_Z76,K38_R23_I24_G43_D4_A131_L95_Z76,B. canariense
05LoS1_6,204,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS1_7,A69,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D8_A69_L17_Z3,K1_R1_I1_G1_D8_A69_L17_Z3,B. canariense
05LoS1_7,435,05LoS14_4,K22,05LoS1_7,R73,19AcPa174.2.1,I24,05LoS14_4,G32,11LoS18_1,D55,05LoS1_7,A69,inoc4-2,L82,11LoS6_3,Z3,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K22_R73_I24_G32,D55_A69_L82_Z3,K22_R73_I24_G32_D55_A69_L82_Z3,B. canariense
05LoS1_8,386,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS1_8,D98,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K18_R1_I1_G1,D98_A1_L1_Z1,K18_R1_I1_G1_D98_A1_L1_Z1,B. canariense
05LoS11_1,400,05LoS11_1,K19,05LoS11_1,R69,11LoS24_1,I1,11LoS6_3,G1,05LoS20_8,D100,19AcGLB10.1.1,A1,05LoS20_8,L8,11LoS7_2,Z1,Hollowell,BMR,38.3193,-123.063667,A. strigosus,Bradyrhizobium,NA,K19_R69_I1_G1,D100_A1_L8_Z1,K19_R69_I1_G1_D100_A1_L8_Z1,B. canariense
05LoS11_14,384,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS16_2,D53,19AcS398Asp.1.1,A2,05LoS22_6,L4,11LoS6_3,Z3,Hollowell,BMR,38.3193,-123.063667,A. strigosus,Bradyrhizobium,NA,K18_R1_I1_G1,D53_A2_L4_Z3,K18_R1_I1_G1_D53_A2_L4_Z3,B. canariense
05LoS11_15,385,05LoS8_1,K18,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS16_2,D53,19AcS398Asp.1.1,A2,05LoS22_6,L4,11LoS6_3,Z3,Hollowell,BMR,38.3193,-123.063667,A. strigosus,Bradyrhizobium,NA,K18_R1_I1_G1,D53_A2_L4_Z3,K18_R1_I1_G1_D53_A2_L4_Z3,B. canariense
05LoS11_5,406,05LoS11_5,K20,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS16_2,D53,19AcS398Asp.1.1,A2,05LoS22_6,L4,11LoS6_3,Z3,Hollowell,BMR,38.3193,-123.063667,A. strigosus,Bradyrhizobium,NA,K20_R1_I1_G1,D53_A2_L4_Z3,K20_R1_I1_G1_D53_A2_L4_Z3,B. canariense
05LoS13_4,111,19AcHe316.1.1,K1,05LoS13_4,R2,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS21_1,A28,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,BMR,38.3193,-123.063667,A. strigosus,Bradyrhizobium,NA,K1_R2_I1_G1,D8_A28_L17_Z3,K1_R2_I1_G1_D8_A28_L17_Z3,B. canariense
05LoS13_5,112,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,BMR,38.3193,-123.063667,A. strigosus,Bradyrhizobium,NA,K1_R1_I6_G1,D16_A14_L1_Z6,K1_R1_I6_G1_D16_A14_L1_Z6,B. canariense
05LoS13_8,113,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,BMR,38.3193,-123.063667,A. strigosus,Bradyrhizobium,NA,K1_R1_I6_G1,D16_A14_L1_Z6,K1_R1_I6_G1_D16_A14_L1_Z6,B. canariense
05LoS14_1,407,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS14_1,D102,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R1_I55_G4,D102_A9_L7_Z3,K21_R1_I55_G4_D102_A9_L7_Z3,B. canariense
05LoS14_10,114,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS23_1,D26,11LoS8_1,A8,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D26_A8_L1_Z3,K1_R1_I1_G1_D26_A8_L1_Z3,B. canariense
05LoS14_11,433,05LoS14_4,K22,19AcS397Asp.3.1,R1,19AcPa174.2.1,I24,05LoS14_4,G32,05LoS14_4,D104,05LoS14_4,A120,19AcS5.1.1,L5,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K22_R1_I24_G32,D104_A120_L5_Z3,K22_R1_I24_G32_D104_A120_L5_Z3,B. canariense
05LoS14_12,413,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R1_I55_G4,D53_A9_L7_Z3,K21_R1_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS14_13,414,05LoS14_1,K21,05LoS14_13,R71,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R71_I55_G4,D53_A9_L7_Z3,K21_R71_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS14_14,415,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R1_I55_G4,D53_A9_L7_Z3,K21_R1_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS14_15,416,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R23_I55_G4,D53_A9_L7_Z3,K21_R23_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS14_2,408,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R1_I55_G4,D53_A9_L7_Z3,K21_R1_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS14_3,409,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS18_1,Z11,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R1_I55_G4,D53_A9_L7_Z11,K21_R1_I55_G4_D53_A9_L7_Z11,B. canariense
05LoS14_4,432,05LoS14_4,K22,19AcS397Asp.3.1,R1,19AcPa174.2.1,I24,05LoS14_4,G32,05LoS14_4,D104,05LoS14_4,A120,19AcS5.1.1,L5,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K22_R1_I24_G32,D104_A120_L5_Z3,K22_R1_I24_G32_D104_A120_L5_Z3,B. canariense
05LoS14_6,429,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R23_I55_G4,D53_A9_L7_Z3,K21_R23_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS14_7,410,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,05LoS14_7,Z67,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R1_I55_G4,D53_A9_L7_Z67,K21_R1_I55_G4_D53_A9_L7_Z67,B. canariense
05LoS14_8,411,05LoS14_1,K21,05LoS14_8,R70,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R70_I55_G4,D53_A9_L7_Z3,K21_R70_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS14_9,412,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R1_I55_G4,D53_A9_L7_Z3,K21_R1_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS16_1,434,05LoS14_4,K22,05LoS16_2,R23,19AcPa174.2.1,I24,05LoS14_4,G32,11LoS18_1,D55,05LoS1_7,A69,inoc4-2,L82,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K22_R23_I24_G32,D55_A69_L82_Z3,K22_R23_I24_G32_D55_A69_L82_Z3,B. canariense
05LoS16_10,117,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,05LoS16_10,D43,05LoS16_10,A15,05LoS16_7,L11,05LoS3_1,Z8,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D43_A15_L11_Z8,K1_R1_I1_G1_D43_A15_L11_Z8,B. canariense
05LoS16_11,118,19AcHe316.1.1,K1,05LoS16_2,R23,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K1_R23_I6_G1,D16_A14_L1_Z3,K1_R23_I6_G1_D16_A14_L1_Z3,B. canariense
05LoS16_12,119,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_12,L7,19AcS142.2.1,Z6,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K1_R1_I6_G1,D16_A14_L7_Z6,K1_R1_I6_G1_D16_A14_L7_Z6,B. canariense
05LoS16_13,419,05LoS14_1,K21,05LoS16_13,R72,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R72_I55_G4,D53_A9_L7_Z3,K21_R72_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS16_14,120,19AcHe316.1.1,K1,05LoS16_2,R23,11LoS24_1,I1,11LoS6_3,G1,05LoS16_14,D44,12LoS18_1,A9,05LoS16_14,L26,19AcS142.2.1,Z6,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K1_R23_I1_G1,D44_A9_L26_Z6,K1_R23_I1_G1_D44_A9_L26_Z6,B. canariense
05LoS16_15,420,05LoS14_1,K21,19AcS397Asp.3.1,R1,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R1_I55_G4,D53_A9_L7_Z3,K21_R1_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS16_16,421,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R23_I55_G4,D53_A9_L7_Z3,K21_R23_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS16_17,121,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,12LoS18_1,A9,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D4_A9_L1_Z1,K1_R1_I1_G1_D4_A9_L1_Z1,B. canariense
05LoS16_18,122,19AcHe316.1.1,K1,05LoS16_18,R25,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K1_R25_I6_G1,D16_A14_L1_Z6,K1_R25_I6_G1_D16_A14_L1_Z6,B. canariense
05LoS16_19,422,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R23_I55_G4,D53_A9_L17_Z3,K21_R23_I55_G4_D53_A9_L17_Z3,B. canariense
05LoS16_2,417,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R23_I55_G4,D53_A9_L7_Z3,K21_R23_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS16_6,418,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K21_R23_I55_G4,D53_A9_L7_Z3,K21_R23_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS16_7,115,19AcHe316.1.1,K1,05LoS16_2,R23,11LoS24_1,I1,11LoS6_3,G1,05LoS16_7,D17,05LoS16_7,A48,05LoS16_7,L11,05LoS3_1,Z8,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K1_R23_I1_G1,D17_A48_L11_Z8,K1_R23_I1_G1_D17_A48_L11_Z8,B. canariense
05LoS16_8,437,05LoS16_8,K23,05LoS16_8,R74,11LoS24_1,I1,11LoS6_3,G1,05LoS16_8,D105,12LoS18_1,A9,05LoS16_8,L1,11LoS7_2,Z1,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K23_R74_I1_G1,D105_A9_L1_Z1,K23_R74_I1_G1_D105_A9_L1_Z1,B. canariense
05LoS16_9,116,19AcHe316.1.1,K1,05LoS16_9,R24,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,BMR,38.318611,-123.065556,A. strigosus,Bradyrhizobium,NA,K1_R24_I6_G1,D16_A14_L1_Z6,K1_R24_I6_G1_D16_A14_L1_Z6,B. canariense
05LoS16R1_16,14,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,12LoS5_2,D4,12LoS18_1,A9,05LoS16_8,L1,11LoS7_2,Z1,Genomes,BMR,38.318611,-123.062222,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D4_A9_L1_Z1,K1_R1_I1_G1_D4_A9_L1_Z1,B. canariense
05LoS16R10_32,431,05LoS14_1,K21,05LoS16_2,R23,24,I55,05LoS16_3,G4,05LoS16_2,D53,12LoS18_1,A9,05LoS16_12,L7,11LoS6_3,Z3,Genomes,BMR,38.318611,-123.062222,A. strigosus,Bradyrhizobium,21,K21_R23_I55_G4,D53_A9_L7_Z3,K21_R23_I55_G4_D53_A9_L7_Z3,B. canariense
05LoS16R10_36,436,05LoS14_4,K22,05LoS16_2,R23,19AcPa174.2.1,I24,05LoS14_4,G32,11LoS18_1,D55,05LoS1_7,A69,inoc4-2,L82,11LoS6_3,Z3,Genomes,BMR,38.318611,-123.062222,A. strigosus,Bradyrhizobium,21,K22_R23_I24_G32,D55_A69_L82_Z3,K22_R23_I24_G32_D55_A69_L82_Z3,B. canariense
05LoS2_3,205,19AcHe316.1.1,K1,05LoS2_3,R14,11LoS24_1,I1,11LoS6_3,G1,19AcARN282.3.1,D9,19AcS311.1.1,A50,19AcS313A.2.1,L15,11LoS18_1,Z11,Hollowell,BMR,38.3193,-123.063733,A. strigosus,Bradyrhizobium,NA,K1_R14_I1_G1,D9_A50_L15_Z11,K1_R14_I1_G1_D9_A50_L15_Z11,B. canariense
05LoS20_1,123,19AcHe316.1.1,K1,05LoS16_2,R23,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K1_R23_I6_G1,D16_A14_L1_Z6,K1_R23_I6_G1_D16_A14_L1_Z6,B. canariense
05LoS20_2,124,19AcHe316.1.1,K1,05LoS20_2,R5,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K1_R5_I6_G1,D16_A14_L1_Z6,K1_R5_I6_G1_D16_A14_L1_Z6,B. canariense
05LoS20_3,125,19AcHe316.1.1,K1,05LoS16_2,R23,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K1_R23_I6_G1,D16_A14_L1_Z6,K1_R23_I6_G1_D16_A14_L1_Z6,B. canariense
05LoS20_4,365,11LoS34_10,K11,05LoS16_2,R23,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,05LoS20_4,Z26,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K11_R23_I6_G1,D16_A14_L1_Z26,K11_R23_I6_G1_D16_A14_L1_Z26,B. canariense
05LoS20_5,126,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcS398Asp.1.1,A2,05LoS16_8,L1,11LoS6_3,Z3,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D8_A2_L1_Z3,K1_R1_I1_G1_D8_A2_L1_Z3,B. canariense
05LoS20_6,127,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,05LoS7_3,I6,11LoS6_3,G1,23,D16,05LoS16_9,A14,05LoS16_8,L1,19AcS142.2.1,Z6,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K1_R1_I6_G1,D16_A14_L1_Z6,K1_R1_I6_G1_D16_A14_L1_Z6,B. canariense
05LoS20_8,402,05LoS11_1,K19,05LoS16_2,R23,11LoS24_1,I1,11LoS6_3,G1,05LoS20_8,D100,19AcGLB10.1.1,A1,05LoS20_8,L8,11LoS7_2,Z1,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K19_R23_I1_G1,D100_A1_L8_Z1,K19_R23_I1_G1_D100_A1_L8_Z1,B. canariense
05LoS21_1,210,19AcHe316.1.1,K1,05LoS16_2,R23,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS21_1,A28,05LoS16_12,L7,11LoS6_3,Z3,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K1_R23_I1_G1,D8_A28_L7_Z3,K1_R23_I1_G1_D8_A28_L7_Z3,B. canariense
05LoS21_2,211,19AcHe316.1.1,K1,05LoS16_2,R23,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS21_1,A28,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K1_R23_I1_G1,D8_A28_L17_Z3,K1_R23_I1_G1_D8_A28_L17_Z3,B. canariense
05LoS21_3,387,05LoS8_1,K18,05LoS16_2,R23,11LoS24_1,I1,11LoS6_3,G1,05LoS21_3,D99,05LoS16_9,A14,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K18_R23_I1_G1,D99_A14_L17_Z3,K18_R23_I1_G1_D99_A14_L17_Z3,B. canariense
05LoS21_4,212,19AcHe316.1.1,K1,05LoS21_4,R33,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS21_4,A68,05LoS16_19,L17,11LoS6_3,Z3,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K1_R33_I1_G1,D8_A68_L17_Z3,K1_R33_I1_G1_D8_A68_L17_Z3,B. canariense
05LoS21R6_43,128,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,19AcGLB10.1.1,A1,05LoS16_8,L1,11LoS7_2,Z1,Genomes,BMR,38.318611,-123.062222,A. strigosus,Bradyrhizobium,24,K1_R1_I1_G1,D8_A1_L1_Z1,K1_R1_I1_G1_D8_A1_L1_Z1,B. canariense
05LoS22_1,213,19AcHe316.1.1,K1,05LoS22_1,R34,05LoS22_1,I18,11LoS6_3,G1,11LoS34_5,D8,05LoS21_1,A28,05LoS22_1,L44,19AcS142.2.1,Z6,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K1_R34_I18_G1,D8_A28_L44_Z6,K1_R34_I18_G1_D8_A28_L44_Z6,B. canariense
05LoS22_10,404,05LoS11_1,K19,05LoS3_3,R4,11LoS24_1,I1,11LoS6_3,G1,05LoS20_8,D100,19AcGLB10.1.1,A1,05LoS20_8,L8,11LoS7_2,Z1,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K19_R4_I1_G1,D100_A1_L8_Z1,K19_R4_I1_G1_D100_A1_L8_Z1,B. canariense
05LoS22_11,219,19AcHe316.1.1,K1,19AcS397Asp.3.1,R1,11LoS24_1,I1,11LoS6_3,G1,11LoS34_5,D8,05LoS21_4,A68,05LoS20_8,L8,11LoS6_3,Z3,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K1_R1_I1_G1,D8_A68_L8_Z3,K1_R1_I1_G1_D8_A68_L8_Z3,B. canariense
05LoS22_12,220,19AcHe316.1.1,K1,05LoS22_12,R21,11LoS24_1,I1,11LoS6_3,G1,12LoS9_1,D20,05LoS23_10,A19,05LoS22_6,L4,05LoS22_12,Z27,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K1_R21_I1_G1,D20_A19_L4_Z27,K1_R21_I1_G1_D20_A19_L4_Z27,B. canariense
05LoS22_13,403,05LoS11_1,K19,05LoS22_13,R9,11LoS24_1,I1,11LoS6_3,G1,05LoS20_8,D100,19AcGLB10.1.1,A1,05LoS20_8,L8,11LoS7_2,Z1,Hollowell,BMR,38.319444,-123.062222,A. strigosus,Bradyrhizobium,NA,K19_R9_I1_G1,D100_A1_L8_Z1,K19_R9_I1_G1_D100_A1_L8_Z1,B. canariense
